METADATA:
Experiment Seed,Subject
7726514,rave
Time after setup,3.970654699995066
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Movie Task
Start Time,7.168128000004799
Movie Task Start,7.168161699999473,,,,Movie Task,1,rave,,,
Movie Init,24.717499000005773,,,,Movie Task,1,rave,,,
Movie Start,24.71753819999867,,,,Movie Task,1,rave,,videodata.mp4,
ESQ,148.01386829999683,,Focus_start,,Movie Task,1,rave,,,Movie Task-videodata
ESQ,152.9339645,,Focus_response,2.5999999999999996,Movie Task,1,rave,,Marker Started at 3,Movie Task-videodata
ESQ,152.9355457000056,,Detailed_start,,Movie Task,1,rave,,,Movie Task-videodata
ESQ,155.88579610000306,,Detailed_response,2.899999999999999,Movie Task,1,rave,,Marker Started at 4,Movie Task-videodata
ESQ,155.88758470000175,,Intrusive_start,,Movie Task,1,rave,,,Movie Task-videodata
ESQ,159.92222120000224,,Intrusive_response,9.699999999999985,Movie Task,1,rave,,Marker Started at 3,Movie Task-videodata
ESQ,159.92267189999984,,Sounds_start,,Movie Task,1,rave,,,Movie Task-videodata
ESQ,163.24195989999862,,Sounds_response,6.20000000000001,Movie Task,1,rave,,Marker Started at 9,Movie Task-videodata
ESQ,163.2436091999989,,Other_start,,Movie Task,1,rave,,,Movie Task-videodata
ESQ,165.5268051000021,,Other_response,10.0,Movie Task,1,rave,,Marker Started at 10,Movie Task-videodata
ESQ,165.5283846999955,,Deliberate_start,,Movie Task,1,rave,,,Movie Task-videodata
ESQ,168.36273940000683,,Deliberate_response,8.59999999999999,Movie Task,1,rave,,Marker Started at 6,Movie Task-videodata
ESQ,168.3644062999956,,Future_start,,Movie Task,1,rave,,,Movie Task-videodata
ESQ,171.4472756000032,,Future_response,8.8,Movie Task,1,rave,,Marker Started at 9,Movie Task-videodata
ESQ,171.44790800000192,,Distracting_start,,Movie Task,1,rave,,,Movie Task-videodata
ESQ,175.2677246999956,,Distracting_response,8.599999999999989,Movie Task,1,rave,,Marker Started at 3,Movie Task-videodata
ESQ,175.26939869999478,,Knowledge_start,,Movie Task,1,rave,,,Movie Task-videodata
ESQ,178.43685040000128,,Knowledge_response,8.39999999999999,Movie Task,1,rave,,Marker Started at 3,Movie Task-videodata
ESQ,178.43861050000123,,Images_start,,Movie Task,1,rave,,,Movie Task-videodata
ESQ,182.52422449999722,,Images_response,2.3000000000000047,Movie Task,1,rave,,Marker Started at 7,Movie Task-videodata
ESQ,182.52590760000749,,Absorption_start,,Movie Task,1,rave,,,Movie Task-videodata
ESQ,186.27682549999736,,Absorption_response,8.59999999999999,Movie Task,1,rave,,Marker Started at 6,Movie Task-videodata
ESQ,186.27836450000177,,Self_start,,Movie Task,1,rave,,,Movie Task-videodata
ESQ,189.69683899999654,,Self_response,7.799999999999994,Movie Task,1,rave,,Marker Started at 6,Movie Task-videodata
ESQ,189.6984136999963,,Emotion_start,,Movie Task,1,rave,,,Movie Task-videodata
ESQ,192.61460699999589,,Emotion_response,7.400000000000006,Movie Task,1,rave,,Marker Started at 9,Movie Task-videodata
ESQ,192.6161785000004,,Problem_start,,Movie Task,1,rave,,,Movie Task-videodata
ESQ,196.03439719999733,,Problem_response,10.0,Movie Task,1,rave,,Marker Started at 5,Movie Task-videodata
ESQ,196.03596019999532,,Words_start,,Movie Task,1,rave,,,Movie Task-videodata
ESQ,199.0041443000082,,Words_response,9.100000000000003,Movie Task,1,rave,,Marker Started at 10,Movie Task-videodata
ESQ,199.0056576000061,,Past_start,,Movie Task,1,rave,,,Movie Task-videodata
ESQ,202.97373199999856,,Past_response,3.7000000000000095,Movie Task,1,rave,,Marker Started at 8,Movie Task-videodata
Movie End videodata.mp4,202.98603929999808,,,,Movie Task,1,rave,,0,
ESQ,324.0497064999945,,Intrusive_start,,Movie Task,1,rave,,,Movie Task-videodata
ESQ,327.6730352000013,,Intrusive_response,2.5999999999999988,Movie Task,1,rave,,Marker Started at 4,Movie Task-videodata
ESQ,327.6746023000014,,Problem_start,,Movie Task,1,rave,,,Movie Task-videodata
ESQ,332.1432436000032,,Problem_response,2.999999999999998,Movie Task,1,rave,,Marker Started at 5,Movie Task-videodata
ESQ,332.1448189000075,,Future_start,,Movie Task,1,rave,,,Movie Task-videodata
ESQ,337.0967110000056,,Future_response,2.900000000000016,Movie Task,1,rave,,Marker Started at 10,Movie Task-videodata
ESQ,337.0982679000008,,Past_start,,Movie Task,1,rave,,,Movie Task-videodata
ESQ,340.28400250000414,,Past_response,6.600000000000005,Movie Task,1,rave,,Marker Started at 8,Movie Task-videodata
ESQ,340.2855802999984,,Deliberate_start,,Movie Task,1,rave,,,Movie Task-videodata
ESQ,343.2019919000013,,Deliberate_response,9.399999999999988,Movie Task,1,rave,,Marker Started at 6,Movie Task-videodata
ESQ,343.2030036000069,,Absorption_start,,Movie Task,1,rave,,,Movie Task-videodata
ESQ,346.40463889999955,,Absorption_response,8.599999999999994,Movie Task,1,rave,,Marker Started at 7,Movie Task-videodata
ESQ,346.4062852000061,,Images_start,,Movie Task,1,rave,,,Movie Task-videodata
ESQ,349.3419064000045,,Images_response,9.099999999999993,Movie Task,1,rave,,Marker Started at 7,Movie Task-videodata
ESQ,349.3434777000075,,Self_start,,Movie Task,1,rave,,,Movie Task-videodata
ESQ,352.2920529999974,,Self_response,1.9000000000000044,Movie Task,1,rave,,Marker Started at 7,Movie Task-videodata
ESQ,352.2936039000051,,Other_start,,Movie Task,1,rave,,,Movie Task-videodata
ESQ,355.2618783000071,,Other_response,2.2000000000000117,Movie Task,1,rave,,Marker Started at 9,Movie Task-videodata
ESQ,355.2634846000001,,Sounds_start,,Movie Task,1,rave,,,Movie Task-videodata
ESQ,358.41560940000636,,Sounds_response,9.099999999999987,Movie Task,1,rave,,Marker Started at 4,Movie Task-videodata
ESQ,358.41726099999505,,Knowledge_start,,Movie Task,1,rave,,,Movie Task-videodata
ESQ,362.5355303999968,,Knowledge_response,3.7000000000000024,Movie Task,1,rave,,Marker Started at 6,Movie Task-videodata
ESQ,362.53719440000714,,Focus_start,,Movie Task,1,rave,,,Movie Task-videodata
ESQ,365.73678229999496,,Focus_response,10.0,Movie Task,1,rave,,Marker Started at 9,Movie Task-videodata
ESQ,365.73831020000216,,Words_start,,Movie Task,1,rave,,,Movie Task-videodata
ESQ,369.60670269999537,,Words_response,6.699999999999995,Movie Task,1,rave,,Marker Started at 4,Movie Task-videodata
ESQ,369.6082447999943,,Distracting_start,,Movie Task,1,rave,,,Movie Task-videodata
ESQ,371.99079569999594,,Distracting_response,1.0,Movie Task,1,rave,,Marker Started at 2,Movie Task-videodata
ESQ,371.9924427000078,,Detailed_start,,Movie Task,1,rave,,,Movie Task-videodata
ESQ,374.29351069999393,,Detailed_response,10.0,Movie Task,1,rave,,Marker Started at 9,Movie Task-videodata
ESQ,374.29515560000436,,Emotion_start,,Movie Task,1,rave,,,Movie Task-videodata
ESQ,377.8966459999938,,Emotion_response,5.10000000000001,Movie Task,1,rave,,Marker Started at 8,Movie Task-videodata
Movie End videodata.mp4,377.9086559999996,,,,Movie Task,1,rave,,0,
ESQ,619.5065133000026,,Images_start,,Movie Task,1,rave,,,Movie Task-videodata
ESQ,622.6412496999983,,Images_response,8.299999999999988,Movie Task,1,rave,,Marker Started at 5,Movie Task-videodata
ESQ,622.6428257999942,,Future_start,,Movie Task,1,rave,,,Movie Task-videodata
ESQ,625.4785212999996,,Future_response,1.7999999999999994,Movie Task,1,rave,,Marker Started at 3,Movie Task-videodata
ESQ,625.4802028999984,,Sounds_start,,Movie Task,1,rave,,,Movie Task-videodata
ESQ,628.0963256999967,,Sounds_response,9.300000000000002,Movie Task,1,rave,,Marker Started at 10,Movie Task-videodata
ESQ,628.0979030000017,,Detailed_start,,Movie Task,1,rave,,,Movie Task-videodata
ESQ,630.6966562000016,,Detailed_response,9.899999999999986,Movie Task,1,rave,,Marker Started at 6,Movie Task-videodata
ESQ,630.6982222999941,,Self_start,,Movie Task,1,rave,,,Movie Task-videodata
ESQ,633.2164860000048,,Self_response,2.5999999999999988,Movie Task,1,rave,,Marker Started at 4,Movie Task-videodata
