METADATA:
Experiment Seed,Subject
2397964,sub005
Time after setup,1964.549079299999
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Movie Task
Start Time,1995.9964365999986
Movie Task Start,1995.9964704999948,,,,Movie Task,1,sub005,,,
Movie Init,2029.3028066999977,,,,Movie Task,1,sub005,,,
Movie Start,2029.3028503999958,,,,Movie Task,1,sub005,,videodata.mp4,
ESQ,2159.2331326999993,,Self_start,,Movie Task,1,sub005,,,Movie Task-videodata
ESQ,2171.608916099998,,Self_response,7.899999999999997,Movie Task,1,sub005,,Marker Started at 7,Movie Task-videodata
ESQ,2171.610500499999,,Images_start,,Movie Task,1,sub005,,,Movie Task-videodata
ESQ,2181.6332378000006,,Images_response,8.099999999999989,Movie Task,1,sub005,,Marker Started at 5,Movie Task-videodata
ESQ,2181.6347705000007,,Deliberate_start,,Movie Task,1,sub005,,,Movie Task-videodata
ESQ,2192.559397099998,,Deliberate_response,1.4000000000000046,Movie Task,1,sub005,,Marker Started at 7,Movie Task-videodata
ESQ,2192.5609527999986,,Focus_start,,Movie Task,1,sub005,,,Movie Task-videodata
ESQ,2200.681784499997,,Focus_response,1.800000000000008,Movie Task,1,sub005,,Marker Started at 8,Movie Task-videodata
ESQ,2200.683430499994,,Absorption_start,,Movie Task,1,sub005,,,Movie Task-videodata
ESQ,2209.7897011999958,,Absorption_response,2.9999999999999982,Movie Task,1,sub005,,Marker Started at 5,Movie Task-videodata
ESQ,2209.7912890000007,,Emotion_start,,Movie Task,1,sub005,,,Movie Task-videodata
ESQ,2220.997802699996,,Emotion_response,5.0000000000000036,Movie Task,1,sub005,,Marker Started at 6,Movie Task-videodata
ESQ,2220.9989000999994,,Distracting_start,,Movie Task,1,sub005,,,Movie Task-videodata
ESQ,2227.385642399997,,Distracting_response,7.000000000000007,Movie Task,1,sub005,,Marker Started at 9,Movie Task-videodata
ESQ,2227.3872881999996,,Intrusive_start,,Movie Task,1,sub005,,,Movie Task-videodata
ESQ,2234.6755481,,Intrusive_response,5.999999999999998,Movie Task,1,sub005,,Marker Started at 3,Movie Task-videodata
ESQ,2234.6771900999956,,Detailed_start,,Movie Task,1,sub005,,,Movie Task-videodata
ESQ,2241.9645632999964,,Detailed_response,7.199999999999996,Movie Task,1,sub005,,Marker Started at 6,Movie Task-videodata
ESQ,2241.9652837999965,,Future_start,,Movie Task,1,sub005,,,Movie Task-videodata
ESQ,2248.002844099996,,Future_response,9.799999999999983,Movie Task,1,sub005,,Marker Started at 5,Movie Task-videodata
ESQ,2248.0034773000007,,Sounds_start,,Movie Task,1,sub005,,,Movie Task-videodata
ESQ,2253.373223499999,,Sounds_response,1.0,Movie Task,1,sub005,,Marker Started at 5,Movie Task-videodata
ESQ,2253.3747578999973,,Problem_start,,Movie Task,1,sub005,,,Movie Task-videodata
ESQ,2259.1455038999993,,Problem_response,1.0,Movie Task,1,sub005,,Marker Started at 5,Movie Task-videodata
ESQ,2259.1470491,,Past_start,,Movie Task,1,sub005,,,Movie Task-videodata
ESQ,2264.4325979999994,,Past_response,1.0,Movie Task,1,sub005,,Marker Started at 6,Movie Task-videodata
ESQ,2264.4341264999966,,Knowledge_start,,Movie Task,1,sub005,,,Movie Task-videodata
ESQ,2271.071104099996,,Knowledge_response,7.0999999999999925,Movie Task,1,sub005,,Marker Started at 5,Movie Task-videodata
ESQ,2271.072706299994,,Words_start,,Movie Task,1,sub005,,,Movie Task-videodata
ESQ,2278.3595149999965,,Words_response,10.0,Movie Task,1,sub005,,Marker Started at 5,Movie Task-videodata
ESQ,2278.3610685999956,,Other_start,,Movie Task,1,sub005,,,Movie Task-videodata
ESQ,2282.4955327999996,,Other_response,1.0,Movie Task,1,sub005,,Marker Started at 3,Movie Task-videodata
Movie End videodata.mp4,2282.5029410999996,,,,Movie Task,1,sub005,,0,
ESQ,2405.7089371999973,,Focus_start,,Movie Task,1,sub005,,,Movie Task-videodata
ESQ,2414.4691300999984,,Focus_response,10.0,Movie Task,1,sub005,,Marker Started at 8,Movie Task-videodata
ESQ,2414.469590099994,,Knowledge_start,,Movie Task,1,sub005,,,Movie Task-videodata
ESQ,2422.991982199994,,Knowledge_response,10.0,Movie Task,1,sub005,,Marker Started at 10,Movie Task-videodata
ESQ,2422.9935292999944,,Problem_start,,Movie Task,1,sub005,,,Movie Task-videodata
ESQ,2427.3453736999945,,Problem_response,1.0,Movie Task,1,sub005,,Marker Started at 2,Movie Task-videodata
ESQ,2427.347027799995,,Sounds_start,,Movie Task,1,sub005,,,Movie Task-videodata
ESQ,2434.3003918999966,,Sounds_response,7.499999999999993,Movie Task,1,sub005,,Marker Started at 3,Movie Task-videodata
ESQ,2434.3019265999974,,Detailed_start,,Movie Task,1,sub005,,,Movie Task-videodata
ESQ,2440.323578299998,,Detailed_response,8.400000000000006,Movie Task,1,sub005,,Marker Started at 10,Movie Task-videodata
ESQ,2440.325173499994,,Distracting_start,,Movie Task,1,sub005,,,Movie Task-videodata
ESQ,2444.943408299994,,Distracting_response,1.0,Movie Task,1,sub005,,Marker Started at 5,Movie Task-videodata
ESQ,2444.9449671999973,,Images_start,,Movie Task,1,sub005,,,Movie Task-videodata
ESQ,2451.5152699999962,,Images_response,1.0,Movie Task,1,sub005,,Marker Started at 7,Movie Task-videodata
ESQ,2451.516889599996,,Future_start,,Movie Task,1,sub005,,,Movie Task-videodata
